country,year,author_count
SN,2021,8
SN,2022,9
SN,2023,1
SO,2019,1
SO,2020,1
SO,2021,1
SO,2022,7
SO,2023,1
SR,2020,2
SR,2022,4
SS,2017,1
SS,2018,1
SS,2019,2
SS,2021,1
SS,2022,2
ST,2015,1
ST,2019,3
ST,2020,6
ST,2021,5
ST,2022,1
SV,2020,1
SV,2021,2
SX,2019,1
SX,2021,1
SX,2022,2
SY,2018,2
SY,2019,11
SY,2020,7
SY,2021,17
SY,2022,23
SY,2023,10
SZ,2020,1
SZ,2022,1
TC,2022,1
TD,2022,1
TG,2019,1
TG,2020,6
TG,2021,4
TG,2022,2
TG,2023,3
TH,2014,10
TH,2015,8
TH,2016,26
TH,2017,87
TH,2018,175
TH,2019,255
TH,2020,383
TH,2021,636
TH,2022,859
TH,2023,232
TJ,2017,1
TJ,2018,1
TJ,2020,9
TJ,2021,10
TJ,2022,12
TJ,2023,3
TN,2014,2
TN,2016,1
TN,2017,10
TN,2018,26
TN,2019,58
TN,2020,75
TN,2021,131
TN,2022,167
TN,2023,32
TO,2021,1
TO,2022,1
TR,2014,22
TR,2015,22
TR,2016,60
TR,2017,211
TR,2018,663
TR,2019,1438
TR,2020,2158
TR,2021,3362
TR,2022,3844
TR,2023,1177
TT,2016,2
TT,2018,2
TT,2019,6
TT,2020,5
TT,2021,8
TT,2022,9
TT,2023,5
TW,2012,1
TW,2014,57
TW,2015,29
TW,2016,79
TW,2017,357
TW,2018,723
TW,2019,1032
TW,2020,1348
TW,2021,1946
TW,2022,2258
TW,2023,602
TZ,2016,2
TZ,2017,6
TZ,2018,15
TZ,2019,35
TZ,2020,30
TZ,2021,34
TZ,2022,69
TZ,2023,9
UA,2015,1
UA,2016,8
UA,2017,4
UA,2018,28
UA,2019,42
UA,2020,66
UA,2021,82
UA,2022,137
UA,2023,34
UG,2016,5
UG,2017,22
UG,2018,14
UG,2019,28
UG,2020,51
UG,2021,74
UG,2022,55
UG,2023,18
US,1993,1
US,1995,1
US,2004,2
US,2005,1
US,2008,3
US,2009,6
US,2010,4
US,2011,2
US,2012,1
US,2013,9
US,2014,301
US,2015,855
US,2016,2707
US,2017,7380
US,2018,12892
US,2019,18524
US,2020,26314
